text,sentiment,rating,aspects,cmi,structure
motamoti bhalo holo onek chhilo kore mone,positive,4,"delivery:neutral, app:positive",0.5361970049796159,contrast
service ta boring product ta boring experience ta boring,negative,1,"service:negative, product:negative, experience:negative",0.36536099750477136,opinion
app ta excellent experience ta khub bhalo price ta average,positive,4,"app:positive, experience:positive, price:neutral",0.3843931374345306,temporal
app ta okay quality ta excellent,positive,4,"app:neutral, quality:positive",0.3986510030775934,temporal
bhalo mone khub use ekdom motamoti use motamoti khub bhalo,positive,5,"price:positive, quality:positive, service:positive",0.5385636122927895,simple
delivery ta motamoti experience ta okay,neutral,3,"delivery:neutral, experience:neutral",0.3856947229481754,contrast
use motamoti use use khub use bhalo holo kore use,neutral,3,"product:positive, quality:negative, app:neutral",0.6455346993478412,temporal
kharap khub onek mone khub mone motamoti kore motamoti,positive,4,"product:positive, app:positive, service:neutral",0.4833142090474344,simple
mone use mone kore bhalo dekhlam onek ekdom onek,neutral,3,"experience:negative, price:positive, quality:neutral",0.5946257887020328,opinion
dekhlam ekdom holo ekdom chhilo kharap dekhlam chhilo chhilo onek,negative,2,"quality:negative, app:neutral, service:negative",0.5462059663805522,contrast
ekdom khub mone motamoti kore bhalo kore khub khub motamoti,neutral,3,"experience:negative, price:neutral, quality:positive",0.4278838273675049,contrast
use ekdom chhilo chhilo holo dekhlam use,neutral,3,"price:positive, product:negative",0.4860135933740882,temporal
mone kharap onek khub dekhlam ekdom kharap onek khub,neutral,3,"experience:neutral, product:neutral, delivery:neutral",0.6403811345249836,simple
onek use dekhlam use onek chhilo bhalo chhilo dekhlam onek,positive,4,"app:positive, product:neutral, quality:neutral",0.400991356197189,opinion
price ta motamoti experience ta okay quality ta bad,negative,2,"price:neutral, experience:neutral, quality:negative",0.33653075465239407,simple
motamoti chhilo ekdom kharap holo motamoti use ekdom dekhlam,negative,2,"price:neutral, delivery:neutral, product:negative",0.48800415798414065,contrast
chhilo onek mone use dekhlam holo,positive,4,"service:neutral, quality:positive",0.6349903690425684,simple
chhilo onek motamoti use mone motamoti kore motamoti use onek,neutral,3,"experience:neutral, app:negative, price:positive",0.5987065466951708,contrast
app ta excellent experience ta excellent,positive,4,"app:positive, experience:positive",0.33605335029848754,temporal
khub dekhlam mone motamoti chhilo chhilo motamoti mone bhalo,positive,4,"app:positive, quality:negative, product:positive",0.6869536304667249,temporal
onek chhilo ekdom use holo bhalo dekhlam bhalo kore kore,positive,4,"delivery:positive, quality:positive, service:positive",0.6955283615765686,contrast
kore khub bhalo dekhlam ekdom motamoti holo holo chhilo,neutral,3,"quality:neutral, product:neutral, experience:neutral",0.5660431452241235,temporal
ekdom kore mone bhalo holo dekhlam,negative,2,"service:negative, experience:positive",0.6017743516499942,simple
delivery ta okay quality ta bad experience ta motamoti,neutral,3,"delivery:neutral, quality:negative, experience:neutral",0.3083426236098995,temporal
experience ta okay price ta joss,positive,4,"experience:neutral, price:positive",0.3973265899290934,opinion
